,catalyst,catalyst_substrate,SA_element,SA_valence,co_elements,oxidant,pollutants,pollutant_constant,dose_catalyst,dose_oxidant,pH,catalyst_cycles,pilot_pollutant,pilot_time,ORS,EPR_signals,quencher,DOI
229,Fe3C/Fe-Nx@GCN,N-doped graphene-containing carbon nanoflakes,Fe,III,N,PMS,10 mg/L (naproxen),0.335 min-1 (naproxen),0.2 g/L,0.4 mM,3.8,5,10 mg/L (naproxen),60 min,"O2-, 1O2, Fe(IV)=O","DMPO-O2•−, TEMP-1O2","inhibition (benzoquinone), 78.5% (furfuryl alcohol), 30.9% (DMSO)",10.1016/j.seppur.2024.128955
230,Mn-Cv-CN,carbon vacancy-containing graphitic carbon nitride (Cv-CN),Mn,III,N,periodate (PI),10 mg/L (sulfamethoxazole),0.1766 min-1 (sulfamethoxazole),0.5 g/L,400 μM,5.63,3,,,"O2-, IO3-, OH, 1O2","DMPO-OH, DMPO-O2-, TEMP-1O2","no significant effect (IPA), complete inhibition (L-Histidine), significant inhibition (p-BQ), slight inhibition (FFA)",10.1016/j.seppur.2024.130515
231,FeCo-NOC,Enteromorpha-derived biochar,,,,PMS,10 mg/L (DTZ),0.1733 min-1 (DTZ),0.05 g/L,0.2 g/L,7,5,,,"1O2, SO4-, OH, O2-","DMPO-SO4-, DMPO-OH, DMPO-O2-, TEMP-1O2","80.03% (MeOH), 94.32% (TBA), 22.08% (FFA), 11.38% (TEMPO)",10.1016/j.seppur.2025.131605
232,FeN-C/diatomite,diatomite,Fe,IV,N,PMS,10 mg/L (BPA),0.378 min-1 (BPA),,,,4,,,"O2-, 1O2, Fe(IV)","DMPO-OH, DMPO-SO4, TMPO-1O2, DMPO-OOH","significant inhibition (p-BQ), significant inhibition (L-histidine), significant inhibition (DMSO)",10.1016/j.surfin.2024.104352
233,Co-NC,Co-doped ZIF-8,Co,"II, III","N, C",PDS,1 mM (EDTA-Ni),0.085 min-1 (EDTA-Ni),1 mg/cm2,3 mM,3,6,,,"SO4-, OH, O2-, 1O2",,"83.7% (methanol), 54.2% (tert-butanol), 13.5% (p-benzoquinone), 7.6% (tetrahydrofurfuryl alcohol)",10.1016/j.surfin.2024.105148
234,Ag-g-C3N4 (SAACN),g-C3N4,Ag,0 ~ +1,N,O2,20 mg/L (tetracycline),0.0409 min-1 (tetracycline),500 mg/L,,6.8,3,,,"O2-, OH, 1O2","DMPO-OOH, DMPO-OH, TEMP-1O2","almost complete suppression (TEMPOL), 33.01% (Cr6+), 36.31% (isopropanol), 72.33% (carotene), minor inhibition (EDTA-2Na)",10.1016/j.watres.2021.117314
235,U-FeCo-C,porous carbon support with ultrahigh surface area (1721.71 m2 g−1),"Fe, Co",,N,PMS,20 mg/L (sulfamethoxazole),7.94 min-1 (sulfamethoxazole),0.08 g/L,0.1 g/L,5,5,20 mg/L (sulfamethoxazole),8.33 h,Surface-activated PMS,DMPOX,"significant inhibition (p-BQ), significant inhibition (L-H), limited inhibition (EtOH), limited inhibition (TBA)",10.1016/j.watres.2023.120164
236,FeCo-NCB,N-doped carbon black (NCB),"Fe, Co","III, II",N,PMS,50 μM (BPA),0.659 min-1 (BPA),0.1 g/L,0.5 mM,6.5,5,,,"HVMO, 1O2","DMPOX, TEMPO","negligible inhibition (MeOH, TBA, p-CBA, p-BQ), no significant inhibition (NaN3, L-histidine), significant reduction (DMSO)",10.1016/j.watres.2024.121417
237,SA-Mn-CN,carbon nitride (CN) doped with single-atom manganese (SA-Mn) supported on polyvinylidene fluoride (PVDF),Mn,II,N,PMS,10 mg/L (tetracycline hydrochloride),0.99 min-1 (TCH),0.1 g/L,0.3 g/L,7,24,10 mg/L (tetracycline hydrochloride),72 h,Mn(IV)-oxo,,"no effect (methanol), no effect (tert-butanol), no effect (nitro blue tetrazolium), no effect (furfur alcohol), significant inhibition (dimethyl sulfoxide)",10.1016/j.watres.2024.122627
238,UCNv-Fe,porous ultrathin g-C3N4 nanosheets with Nv defects,Fe,III,N,PAA,10 mg/L (BPA),4680 min-1 (BPA),0.7 mg/cm2,0.7 mM,,,Fluorescent DOMs in SE,10 h,Fe(V)=O,DMPOX,"significant inhibition (DMSO), 9.81% (FFA), 11.79% (FFA)",10.1016/j.watres.2024.122983
239,FeCo-NC-2,porous N-doped graphene,Co,II,N,PMS,20 mg/L (BPA),1.252 min-1 (BPA),0.1 g/L,0.2 g/L,6,3,,,1O2,"DMPO-OH, DMPOX","slight inhibition (tert-butanol), slight inhibition (methanol), significant inhibition (NaN3), complete inhibition (KI)",10.1021/jacs.8b05992
240,Co/NC@mSiO2,mesoporous silica nanospheres containing N-doped carbon (NC) dots,,,,PMS,"30 ppmv (chlorobenzene), 30 ppmv (styrene), 30 ppmv (toluene), 10 mg/L (2-chlorophenol), 10 mg/L (2,4-dichlorophenol), 10 mg/L (2,4,6-trichlorophenol), 10 mg/L (norfloxacin), 10 mg/L (bisphenol A), 10 mg/L (rhodamine B), 10 mg/L (methylene blue)","exceptional kobs value (2-chlorophenol), exceptional kobs value (2,4-dichlorophenol), exceptional kobs value (2,4,6-trichlorophenol), exceptional kobs value (norfloxacin), exceptional kobs value (bisphenol A), exceptional kobs value (rhodamine B), exceptional kobs value (methylene blue)","50 mg/L (for VOCs), 10 mg/L (for wastewater pollutants)","16 mM (for VOCs), 0.32 mM (for wastewater pollutants)",7,,,,"HO, SO4-","DMPO-HO, DMPO-SO4","slight inhibition (tert-butyl alcohol), significant inhibition (ethanol)",10.1021/jacsau.3c00147
241,0.2 wt% Co/10 wt% g-C3N4/Bi2WO6,g-C3N4/Bi2WO6,Co,II,"N, O",PMS,100 mg/L (RhB),0.182 min-1 (RhB),1 g/L,0.1 mM,neutral,5,"300 mg/L (COD), 75 mg/L (TOC)",7 days,"h+, 1O2, O2-, e-, OH",,"48.8% (ammonium oxalate), 53.7% (furfuryl alcohol), 54.3% (p-benzoquinone), 85.3% (silver nitrate), 98.7% (tertbutanol)",10.1002/jctb.7480
242,V-g-C3N4-0.5,graphitic carbon nitride (g-C3N4),,,,PMS,10 mg/L (bisphenol A),,1 g/L,1 mM,,,,,"O2-, SO4-, h+",,"remarkable decrease (BQ), remarkable decrease (EDTA), no obvious change (IPA), marked inhibition (MeOH)",10.3390/ma15248936
243,Cu-N4/C-B,N-doped carbon substrate with boron (B) doping,Cu,II,N,PMS,20 mg/L (bisphenol A),0.6 min-1 (bisphenol A),0.1 g/L,0.2 g/L,6,,,,"1O2, Cu(III)-OH",TMP-1O2,"slight inhibition (ethanol), noticeable inhibition (benzoquinone), noticeable inhibition (sodium azide)",10.1073/pnas.2119492119
244,TiO2@Fe species-N-C,TiO2@NC,Fe,III,"N, O, C",PMS,45 mg/L (tetracycline),0.92 min-1 (tetracycline),0.2 g/L,0.5 g/L,3.5,,,,1O2,"DMPOX, TEMPO","significant inhibition (furfuryl alcohol), negligible effect (methanol, tert-butanol, dimethyl sulfoxide)",10.1073/pnas.2300281120
245,SnZVI@PBC,phosphorus-doped biochar (PBC),,,,PS,20 mg/L (trichloroethylene),0.0221 min-1 (trichloroethylene),0.2 g/L,5 mM,5,5,,,"OH, O2-, 1O2","DMPO-OH, DMPO-O2","32.5% (methanol), 22.6% (tert-butanol), strongest inhibition (p-benzoquinone), 17.5% (KI), 47.4% (furfuryl alcohol)",10.1073/pnas.2304552120
246,MoFe/C3N5,C3N5,"Mo, Fe","Mo: +4 to +6, Fe: +2 to +3",N,H2O2,"2 ppm (ibuprofen), 2 ppm (carbamazepine)","0.02118 min-1 (ibuprofen at pH 3.5), 0.00364 min-1 (ibuprofen at pH 10.5)",0.2 mg/cm2,,3.5,5,2 ppm (ibuprofen),30 minutes,"OH, O2-, 1O2","DMPO-OH, DMPO-SO4","significant inhibition (methanol), significant inhibition (p-benzoquinone), significant inhibition (tryptophan)",10.1073/pnas.2305883120
247,Cu1/C3N4/MMT,C3N4/montmorillonite (MMT),Cu,II,N,H2O2,20.0 mg/L (phenol),0.123 min-1 (phenol),0.5 g/L,800 ppm,7,6,,,"OH, O2-","DMPO-CH3, DMPO-CH(CH3)OH","significant inhibition (ethanol), significant inhibition (DMSO)",10.1073/pnas.2311585120
248,SA-FeN5,g-C3N4,Fe,II,N,PMS,30 μM (APAP),0.385 min-1 (APAP),0.2 g/L,0.6 mM,3 to 11 (optimal performance across range),5,"30 μM (acetaminophen), RhB (concentration not specified)",600 min,"Fe(IV)=O, OH, SO4-, O2-, 1O2","DMPO-OH, DMPO-SO4, DMPO-O2, TEMP-1O2","significant inhibition (KSCN), negligible inhibition (TBA, MeOH), significant inhibition (FFA, NaN3), evident stagnation (DMSO)",10.1073/pnas.2322283121
249,Fe2-N-C,N-C,Fe,IV,N,PMS,"10 mg/L (RhB), 5 mg/L (BPA), 5 mg/L (2,4-DP)","0.05 min-1 (RhB), 0.03 min-1 (BPA), 0.02 min-1 (2,4-DP)",,,5,5,,,"singlet oxygen, Fe(IV)","DMPO-OH, DMPO-SO4",non-radical reaction confirmed,10.1007/s12274-022-5124-6
250,CoSA/Clu-C2N,C2N,Co,δ+ (0 < δ < 2),N,PMS,"20 mg/L (carbamazepine), 20 mg/L (antipyrine), 20 mg/L (chlorobenzoic acid)","5.424 min-1 (carbamazepine), 2.445 min-1 (carbamazepine)",0.1 g/L,150 mg/L,6.5,5,,,"1O2, SO4·−","DMPO-OH, TEMP-1O2",,10.1007/s12274-024-6792-1
251,S-Fe/CN-4,g-C3N4,Fe,II,N,H2O2,"50 mg/L (MB), 200 mg/L (MB), 200 mg/L (RhB), 200 mg/L (phenol), 200 mg/L (MO)",,0.4 g/L,34 mmol/L,7,5,,,HO•,DMPO-OH,,10.1016/S1872-2067(20)63529-X
252,Co SSCs,porous carbon architecture with C-N defects,Co,+2 to +3,N,PDS,20 mg/L (tetracycline),0.07133 min-1 (tetracycline),0.2 g/L,0.09 mM,6,5,,,"OH, SO4-, 1O2, O2-","DMPO-OH, DMPO-SO4","significant inhibition (KSCN), 74.3% (L-His), 23.7% (ethanol), 2.6% (tert-butanol)",10.1007/s40843-024-2979-6
253,Cu2@C3N4,graphitic carbon nitride,Cu,,"O, N","H2O2, O2",0.1 MPa (CH4),,0.35 wt%,0.2 mM (H2O2),,5,,,"OOH, OH","DMPO-OOH, DMPO-OH",,10.1038/s41467-022-28987-1
254,Co-SA/PN-g-C3N4,pyrrolic N-rich graphitic carbon nitride (PN-g-C3N4),"Cu, Ni, Co, Fe","III, IV, IV, IV","N, O",PMS,"0.5 mM (phenol), 0.5 mM (2,6-M-PhOH)",,1.0 g/L,1.0 mM,7,,,,Co(IV)=O,DMPOX,"complete inhibition (10 mM DMSO), complete inhibition (10 mM ferulic acid), negligible inhibition (methanol), negligible inhibition (tert-butanol)",10.1038/s41467-024-46739-1
255,FeSA-hCN,hierarchical porous carbon nitride,Fe,II,N,H2O2,1 g/L (UHMWPE),"0.03 h-1 (UHMWPE), 0.22 h-1 (UHMWPE)",1 g/L,100 mM,7,6,,,OH,DMPO-OH,significant inhibition (ethanol),10.1038/s41467-024-53055-1
256,Cu-C3N4,graphitic carbon nitride,Cu,"I, II",N,H2O2,10 μM (rhodamine B),1.64 min-1 (rhodamine B),1 g/L,1 g/L,7,10,"10 ppm (rhodamine B), 10 ppm (methylene blue)",100 h,OH,,,10.1038/s41893-020-00635-w
257,FeSA-NGK,g-C3N4/kaolinite with N vacancies,Fe,between Fe3+ and Fe2+,N,PMS,30 mg/L (BPA),"0.5453 min-1 (BPA), 0.2875 min-1 (BPA)",0.5 g/L,0.5 mmol/L,,3,30 mg/L (BPA),240 min,"1O2, •O2−, h+","DMPO-OH, DMPO-SO4","slight inhibition (MeOH, TBA), 36.7% (FFA), 69.7% (BQ), 60.8% (EDTA-2Na)",10.1002/smll.202204793
258,Fe-CN0.05,graphitic carbon nitride (g-C3N4),Fe,III,"N, O",PMS,50 µm (BPA),0.2 min-1 (BPA),0.2 g/L,0.2 mM,6.4,5,50 µm (BPA),120 h,"O2•−, 1O2","DMPO-OH, DMPO-O2−, TMP-1O2","significant inhibition (benzoquinone), significant inhibition (furfuryl alcohol), slight inhibition (tert-butyl alcohol), slight inhibition (ethanol)",10.1002/smll.202205583
259,Fe-CN-650,g-C3N4,Fe,II,"N, O",PMS,10 mg/L (SMX),0.472 min-1 (SMX),0.1 g/L,1 mM,7.2,5,,,"1O2, Fe(IV)=O","DMPO-OH, DMPO-SO4, DMPO-O2, TEMP-1O2","slight inhibition (tert-butanol), slight inhibition (methanol), significant inhibition (p-benzoquinone), 10.65% (5 mM furfuryl alcohol), 29.04% (10 mM l-histidine)",10.1002/smll.202311552
260,Mn-S/NC,N-doped carbon,Mn,II,"S, N",PMS,10 mg/L (BPA),0.604 min-1 (BPA),0.1 g/L,0.15 g/L,3月10日,5,,,1O2,TEMP-1O2,"dramatic inhibition (L-histidine), dramatic inhibition (NaN3), dramatic inhibition (furfuryl alcohol)",10.1002/smll.202311642
261,FeNC-15,micro-mesoporous carbon matrix,Fe,II/III,N,O3,50 ppm (CH3SH),,,40 ppm,,,,600 h,"*O, *OO, 1O2, ·O2−, ·OH","DMPO-O2-, TEMP-1O2","noteworthy decrease (TEMP), significant inhibition (NBD-Cl), hindered oxidation (TBA)",10.1002/smll.202311879
262,FeMoNC,mesoporous nitrogen-doped carbon,"Fe, Mo","II, VI",N,PMS,50 ppm (4-CP),0.983 min-1 (4-CP),20 mg/L,10 mg/L,6.4,5,50 ppm (4-CP),168 h,"1O2, Fe(IV)=O","DMPO-OH, DMPO-SO4","slight suppression (methanol), significant inhibition (furfuryl alcohol), significant inhibition (oxalic acid)",10.1002/smll.202410807
263,SA-Cu/g-C3N4,graphite carbon nitride (g-C3N4),Cu,I,N,PS,10.0 mg/L (RhB),0.06 min-1 (RhB),0.12 g/L,0.4 g/L,6,5,,,"O2-, SO4-, OH","DMPO-OH, DMPO-SO4•−, DMPO-O2•−","significant inhibition (IPA), significant inhibition (MeOH), significant inhibition (p-BQ), significant inhibition (EDTA-2Na)",10.1360/SSC-2021-0043
264,CoO/TUD-1,nanoporous silicate material (TUD-1),Co,II,"O, Si",H2O2,100 ppm (methylene blue),0.019 min-1 (methylene blue),0.1 g/L,12.8 mmol/L,,,,,"OH, OOH",,,10.3390/sym13091754
